Term,Definition,Category,Source,Difficulty
set operations,,SQL,SQL Course,beginner
EXCEPT,,SQL,SQL Course,beginner
result set,,SQL,SQL Course,beginner
UNION,,SQL,SQL Course,beginner
UNION ALL,,SQL,SQL Course,beginner
operator,,SQL,SQL Course,beginner
INTERSECT,,SQL,SQL Course,beginner
venn diagram,,SQL,SQL Course,beginner
LEFT JOIN,,SQL,SQL Course,beginner
INNER JOIN,,SQL,SQL Course,beginner
RIGHT JOIN,,SQL,SQL Course,beginner
LIKE,,SQL,SQL Course,beginner
ILIKE,,SQL,SQL Course,beginner
regexp,,SQL,SQL Course,beginner
backup,"en extra kopia på någonting, används för säkerhet utifall någonting händer, t.ex en fil blir korrupt och ej läsbar. Har du en backup på originalet kan du läsa den istället utan problem.",Python,Python Course,beginner
pull,kommandot git pull används för att hämta och ladda ner innehåll från ett repository och omedelbart uppdatera det lokala arkivet så att det matchar det innehållet.,Python,Python Course,beginner
clone,"git clone används för att skapa en lokal kopia av ett befintligt repo (remote repository), till exempel från GitHub, GitLab eller Bitbucket. Det laddar ner hela projektets historik, filer och alla grenar (branches) till din dator, vilket gör att du kan arbeta lokalt och senare synkronisera ändringar.",Python,Python Course,beginner
cd,linux kommando som står för 'change directory',Python,Python Course,beginner
ls,linux kommando som står för 'list',Python,Python Course,beginner
cd ..,linux kommando som står för 'change directory bakåt'. Den flyttar dig bakåt en directory.,Python,Python Course,beginner
data type,"data type frågar om vad för TYP det är på datan. Heltal(integer), decimaler(float), text(string), Sant/Falskt(Boolean). Notera att det är stor skillnad på Data type och Data structure.",Python,Python Course,beginner
data structure,"Data structures är ett sätt att organisera, lagra och hantera data för att kunna använda den effektivt. Exempel på datastruktur är, list [], tuple (), dictionary {}.",Python,Python Course,beginner
variable,"en variabel är som en behållare som du ger ett namn och ett värde, till exempel hw = 'Hello World'. Då kan du kalla på variabeln när som helst med hw istället för att skriva Hello World.",Python,Python Course,beginner
assignment,en tilldelning enkelt förklarat. Har du en variabel = 10 så innebär det att likhetstecknet tilldelar variabeln 10 (som är en int i detta exempel).,Python,Python Course,beginner
input,input är det som går in.,Python,Python Course,beginner
output,output är det som kommer ut.,Python,Python Course,beginner
type casting,"innebär att en variabel av en viss datatyp konverteras till en annan. Till exempel: x = int(11.7), detta kommer bli 12 pga int är heltal och ej decimaler. https://www.w3schools.com/python/python_casting.asp",Python,Python Course,beginner
boolean,"en bool är True eller False. If x = True, ... ... True är här en bool.",Python,Python Course,beginner
string,en string kännetecknas av 'text',Python,Python Course,beginner
indentation,,Python,Python Course,beginner
convention,,Python,Python Course,beginner
control structures,,Python,Python Course,beginner
conditional statement,,Python,Python Course,beginner
if,,Python,Python Course,beginner
elif,,Python,Python Course,beginner
else,,Python,Python Course,beginner
for,,Python,Python Course,beginner
while,,Python,Python Course,beginner
break,,Python,Python Course,beginner
continue,,Python,Python Course,beginner
boolean expression,,Python,Python Course,beginner
loop,,Python,Python Course,beginner
nested loop,,Python,Python Course,beginner
nested if statement,,Python,Python Course,beginner
expression,,Python,Python Course,beginner
statement,,Python,Python Course,beginner
control flow,,Python,Python Course,beginner
sequence,,Python,Python Course,beginner
list,,Python,Python Course,beginner
tuple,,Python,Python Course,beginner
set,,Python,Python Course,beginner
range,,Python,Python Course,beginner
indexing,,Python,Python Course,beginner
slicing,,Python,Python Course,beginner
comprehension,,Python,Python Course,beginner
zip,,Python,Python Course,beginner
enumermate,,Python,Python Course,beginner
unpacking,,Python,Python Course,beginner
membership test,,Python,Python Course,beginner
replace,,Python,Python Course,beginner
regular expression,,Python,Python Course,beginner
concatenation,,Python,Python Course,beginner
split,,Python,Python Course,beginner
indexing,,Python,Python Course,beginner
escape charactrers,,Python,Python Course,beginner
unicode,,Python,Python Course,beginner
exception,,Python,Python Course,beginner
try block,,Python,Python Course,beginner
except block,,Python,Python Course,beginner
finally block,,Python,Python Course,beginner
traceback,,Python,Python Course,beginner
open(),,Python,Python Course,beginner
with,,Python,Python Course,beginner
context manager,,Python,Python Course,beginner
close(),,Python,Python Course,beginner
def,,Python,Python Course,beginner
function call,,Python,Python Course,beginner
argument,,Python,Python Course,beginner
return statement,,Python,Python Course,beginner
parameter,,Python,Python Course,beginner
default parameter,,Python,Python Course,beginner
keyword arguments,,Python,Python Course,beginner
variable arguments,,Python,Python Course,beginner
positional arguments,,Python,Python Course,beginner
lambda functions,,Python,Python Course,beginner
dict(),,Python,Python Course,beginner
get(),,Python,Python Course,beginner
items(),,Python,Python Course,beginner
in operator,,Python,Python Course,beginner
del,,Python,Python Course,beginner
update(),,Python,Python Course,beginner
class,,Python,Python Course,beginner
object,,Python,Python Course,beginner
instance,,Python,Python Course,beginner
encapsulation,,Python,Python Course,beginner
private,,Python,Python Course,beginner
property,,Python,Python Course,beginner
validation,,Python,Python Course,beginner
abstraction,,Python,Python Course,beginner
polymorphism,,Python,Python Course,beginner
method overloading,,Python,Python Course,beginner
inheritance,,Python,Python Course,beginner
composition,,Python,Python Course,beginner
base class,,Python,Python Course,beginner
superclass,,Python,Python Course,beginner
parent,,Python,Python Course,beginner
child,,Python,Python Course,beginner
unit test,,Python,Python Course,beginner
assertion,,Python,Python Course,beginner
test coverage,,Python,Python Course,beginner
TDD,,Python,Python Course,beginner
