Term,Definition,Category,Source,Difficulty
candidate key,Any minimal set of column(s) that can uniquely identify a row; one candidate key is chosen as the primary key.,Data Modeling,Data Modeling Course,beginner
alternate key,A candidate key that is not selected as the primary key but is still unique and can identify rows.,Data Modeling,Data Modeling Course,beginner
normalization,"Design technique that structures tables to reduce redundancy and dependency problems, improving integrity and maintainability.",Data Modeling,Data Modeling Course,beginner
insertion anomaly,"A design problem where you cannot insert a fact without also inserting unrelated data, due to poor table structure.",Data Modeling,Data Modeling Course,beginner
update anomaly,"A design problem where the same fact must be updated in multiple rows/places, risking inconsistent values.",Data Modeling,Data Modeling Course,beginner
deletion anomaly,A design problem where deleting a row unintentionally removes other important facts because data was bundled together.,Data Modeling,Data Modeling Course,beginner
normal forms,"A set of rules (1NF, 2NF, 3NF, BCNF, etc.) that describe increasing levels of normalization and reduced redundancy.",Data Modeling,Data Modeling Course,beginner
boyce-codd normal form,"BCNF: a stronger form of 3NF where every determinant is a candidate key, preventing certain redundancy anomalies.",Data Modeling,Data Modeling Course,beginner
transitive dependency,"When a non-key attribute depends on another non-key attribute (indirectly on the key), violating 3NF.",Data Modeling,Data Modeling Course,beginner
functional dependency,"A relationship where one set of attributes determines another (if A is known, B is uniquely determined).",Data Modeling,Data Modeling Course,beginner
ternary relationship,A relationship that involves three entities at the same time (cannot be accurately modeled as only pairwise relationships).,Data Modeling,Data Modeling Course,beginner
composite primary key,A primary key made of two or more columns (together uniquely identify rows).,Data Modeling,Data Modeling Course,beginner
relational schema notation,"A compact way to write a relational schema, e.g., R(A, B, C), with annotations for keys and constraints.",Data Modeling,Data Modeling Course,beginner
entity constriants,"Entity constraints: rules that apply within a single table/entity (e.g., primary key uniqueness, not null, domain/check constraints).",Data Modeling,Data Modeling Course,beginner
CRUD,"Create, Read, Update, Delete: the four basic operations performed on stored data.",SQL,SQL Course,beginner
query,A request for data (or a change) expressed in SQL; commonly refers to SELECT statements that return a result set.,SQL,SQL Course,beginner
statement,"A complete SQL command executed by the database (e.g., SELECT, INSERT, UPDATE, DELETE, CREATE).",SQL,SQL Course,beginner
DDL,"Data Definition Language: SQL for defining structures (CREATE, ALTER, DROP).",SQL,SQL Course,beginner
DML,"Data Manipulation Language: SQL for changing data (INSERT, UPDATE, DELETE).",SQL,SQL Course,beginner
idempotent,A script/operation that can be run multiple times and still produces the same end state (safe re-runs).,SQL,SQL Course,beginner
table,A relational structure that stores rows (records) with the same columns; also called a relation.,SQL,SQL Course,beginner
schema,"A namespace and/or collection of database objects (tables, views, functions); also refers to the defined structure of data.",SQL,SQL Course,beginner
row,A single record/tuple in a table (one item of data across all columns).,SQL,SQL Course,beginner
record,A synonym for row: one complete set of column values in a table.,SQL,SQL Course,beginner
column,"A named field in a table that stores one attribute type (e.g., email, created_at).",SQL,SQL Course,beginner
database,"An organized collection of data and database objects (tables, indexes, views) managed by a DBMS.",SQL,SQL Course,beginner
persistance,Persistence: data is stored durably (on disk) and remains after the program/process ends.,SQL,SQL Course,beginner
DQL,"Data Query Language: SQL used to query data, mainly SELECT.",SQL,SQL Course,beginner
relational database,A database that follows the relational model (tables + keys + constraints) and is queried with SQL.,SQL,SQL Course,beginner
dot commands,"Database client meta-commands (not SQL) such as psql backslash commands (e.g., \dt, \d, \x).",SQL,SQL Course,beginner
CLI,Command-Line Interface: interacting with a tool by typing commands in a terminal.,SQL,SQL Course,beginner
bash,A common command-line shell used on Unix-like systems for running commands and scripts.,SQL,SQL Course,beginner
type inference,"Automatically determining a value's type from context or data (e.g., importing CSV and guessing column types).",SQL,SQL Course,beginner
clause,"A part of a SQL statement with a specific role (SELECT, FROM, WHERE, GROUP BY, ORDER BY, etc.).",SQL,SQL Course,beginner
aliasing,Giving a temporary name to a table or column (often using AS) to simplify references.,SQL,SQL Course,beginner
SQL statement,A SQL command executed by the database; same idea as a statement (SELECT/INSERT/UPDATE/DELETE/CREATE...).,SQL,SQL Course,beginner
persistent database,"A database stored on disk (durable), as opposed to an in-memory database that disappears when the process stops.",SQL,SQL Course,beginner
.wal,"Write-Ahead Log file: a durability mechanism where changes are logged before being applied, enabling crash recovery.",SQL,SQL Course,beginner
IDE,"Integrated Development Environment: an editor with tools like linting, debugging, and project management.",SQL,SQL Course,beginner
csv,Comma-Separated Values: a plain-text tabular file format where each line is a row and fields are separated by commas.,SQL,SQL Course,beginner
namespace,"A naming scope that keeps object names separate; in SQL often implemented as schemas (e.g., public.table).",SQL,SQL Course,beginner
CRUD,"Create, Read, Update, Delete: the four basic operations performed on stored data.",SQL,SQL Course,beginner
query,A request for data (or a change) expressed in SQL; commonly refers to SELECT statements that return a result set.,SQL,SQL Course,beginner
statement,"A complete SQL command executed by the database (e.g., SELECT, INSERT, UPDATE, DELETE, CREATE).",SQL,SQL Course,beginner
schema,"A namespace and/or collection of database objects (tables, views, functions); also refers to the defined structure of data.",SQL,SQL Course,beginner
aliasing,Giving a temporary name to a table or column (often using AS) to simplify references.,SQL,SQL Course,beginner
projection,"Selecting which columns to return (the column list in SELECT), e.g., SELECT name, age FROM ...",SQL,SQL Course,beginner
selection,Filtering which rows to return (typically via WHERE conditions).,SQL,SQL Course,beginner
namespace,"A naming scope that keeps object names separate; in SQL often implemented as schemas (e.g., public.table).",SQL,SQL Course,beginner
SELECT clause,The part of a query that specifies which columns/expressions are returned.,SQL,SQL Course,beginner
WHERE clause,The part of a query that filters rows based on a condition.,SQL,SQL Course,beginner
condition,"A boolean expression (true/false) used for filtering or joining, e.g., WHERE age > 30.",SQL,SQL Course,beginner
BETWEEN,"A SQL operator for inclusive range checks, e.g., WHERE x BETWEEN 10 AND 20.",SQL,SQL Course,beginner
aggregate functions,"Functions that summarize many rows into one value (COUNT, SUM, AVG, MIN, MAX).",SQL,SQL Course,beginner
range filtering,"Filtering rows by numeric/date ranges using operators like >, <, BETWEEN.",SQL,SQL Course,beginner
pattern matching,Filtering text based on patterns (LIKE/ILIKE) or regular expressions (regexp).,SQL,SQL Course,beginner
list filtering,"Filtering rows based on membership in a list, typically using IN (...).",SQL,SQL Course,beginner
temporal,"Related to time-based data such as dates, timestamps, and time intervals.",SQL,SQL Course,beginner
interval,"A time duration (e.g., 7 days, 3 hours) used in date/time calculations.",SQL,SQL Course,beginner
synthetic,"Artificially generated (not from real-world source), e.g., synthetic test data or surrogate keys.",SQL,SQL Course,beginner
VALUES,"SQL keyword to provide literal row values, commonly used in INSERT or as a table-like construct.",SQL,SQL Course,beginner
subquery,"A query nested inside another query (in SELECT, FROM, WHERE, etc.) whose result is used by the outer query.",SQL,SQL Course,beginner
compound query,A query formed by combining multiple SELECT results using set operations (UNION/INTERSECT/EXCEPT).,SQL,SQL Course,beginner
set operations,"Operations that combine result sets as sets (UNION, UNION ALL, INTERSECT, EXCEPT).",SQL,SQL Course,beginner
EXCEPT,Set operation that returns rows present in the first query but not in the second (set difference).,SQL,SQL Course,beginner
result set,The table-shaped output returned by a query (rows + columns).,SQL,SQL Course,beginner
UNION,Set operation that combines results and removes duplicates (distinct).,SQL,SQL Course,beginner
UNION ALL,Set operation that combines results and keeps duplicates (faster than UNION).,SQL,SQL Course,beginner
operator,"A symbol/keyword that performs an operation (e.g., =, <, +, AND, OR).",SQL,SQL Course,beginner
INTERSECT,Set operation that returns only rows that appear in both result sets (set intersection).,SQL,SQL Course,beginner
venn diagram,A diagram showing overlaps between sets; often used to explain UNION/INTERSECT/EXCEPT visually.,SQL,SQL Course,beginner
LEFT JOIN,Join that keeps all rows from the left table and matches from the right; non-matches on the right become NULL.,SQL,SQL Course,beginner
INNER JOIN,Join that returns only rows where the join condition matches in both tables.,SQL,SQL Course,beginner
RIGHT JOIN,Join that keeps all rows from the right table and matches from the left; non-matches on the left become NULL.,SQL,SQL Course,beginner
LIKE,Pattern matching operator using % and _ wildcards; often case-sensitive depending on database/collation.,SQL,SQL Course,beginner
ILIKE,Case-insensitive version of LIKE in PostgreSQL.,SQL,SQL Course,beginner
regexp,"Regular expression matching (database-specific), used to filter strings with regex patterns.",SQL,SQL Course,beginner
backup,an extra copy of something used for safety in case something happens e.g. a file becomes corrupt and unreadable. If you have a backup of the original you can read it instead without any problems.,Python,Python Course,beginner
pull,used to fetch and download content from a remote repository and immediately update the local repository to match that content,Python,Python Course,beginner
clone,git clone is primarily used to point to an existing repo and make a clone or copy of that repo at in a new directory at another location. The original repository can be located on the local filesystem or on remote machine accessible supported protocols.,Python,Python Course,beginner
cd,linux command for 'change directory',Python,Python Course,beginner
ls,linux command to 'list',Python,Python Course,beginner
cd ..,linux command that stands for 'change directory'. It moves you back one directory from current one,Python,Python Course,beginner
data type,In programming a data type is an important concept. Variables can store data of different types and different types can do different things.,Python,Python Course,beginner
data structure,"Data structures are a way of organizing, storing and managing data in order to use it effectively. Examples of data structures are, list [], tuple (), dictionary {}.",Python,Python Course,beginner
variable,"a variable is like a container that you give a name and a value to, for example hw = 'Hello World'. Then you can call the variable at any time with hw instead of writing Hello World.",Python,Python Course,beginner
assignment,"an assignment simply explained. If you have a variable = 10, it means that the equal sign assigns the variable 10 (which is an int in this example).",Python,Python Course,beginner
input,input is what goes in,Python,Python Course,beginner
output,output is what goes out,Python,Python Course,beginner
type casting,"type casting means that a variable of a certain data type is converted to another. For example: x = int(11.7), this will be 12 because int is an integer and not a decimal.",Python,Python Course,beginner
boolean,"A bool is either True eller False. If x = True, ... ... True here is a boolean.",Python,Python Course,beginner
string,a string is characterized by 'text',Python,Python Course,beginner
indentation,"Leading whitespace that defines code blocks in Python (e.g., inside if/for/functions).",Python,Python Course,beginner
convention,"A recommended style or best practice (e.g., PEP 8) that improves readability but isn't required by the interpreter.",Python,Python Course,beginner
control structures,"Language constructs that control execution flow, such as conditionals, loops, and exception handling.",Python,Python Course,beginner
conditional statement,A statement that chooses which block to run based on a condition (if/elif/else).,Python,Python Course,beginner
if,Starts a conditional block that runs only if its boolean condition is True.,Python,Python Course,beginner
elif,An 'else if' branch: checked when previous if/elif conditions were False.,Python,Python Course,beginner
else,Fallback branch of a conditional that runs when no prior condition is True.,Python,Python Course,beginner
for,"A loop that iterates over items in an iterable (list, range, dict, etc.).",Python,Python Course,beginner
while,A loop that repeats as long as its boolean condition remains True.,Python,Python Course,beginner
break,Immediately exits the nearest enclosing loop.,Python,Python Course,beginner
continue,Skips the rest of the current loop iteration and continues with the next one.,Python,Python Course,beginner
boolean expression,"An expression that evaluates to True or False (e.g., x > 0 and y < 5).",Python,Python Course,beginner
loop,A control structure that repeats a block of code multiple times.,Python,Python Course,beginner
nested loop,"A loop inside another loop, used to iterate over combinations (e.g., rows and columns).",Python,Python Course,beginner
nested if statement,"An if-statement inside another if-statement, used for multi-level decisions.",Python,Python Course,beginner
expression,"A piece of code that produces a value (e.g., 2 + 2, len(name), x > 3).",Python,Python Course,beginner
statement,"A complete instruction that performs an action (assignment, if, for, def, return, etc.).",Python,Python Course,beginner
control flow,"The order in which statements execute (including branches, loops, and exceptions).",Python,Python Course,beginner
sequence,A control flow where statements run top-to-bottom in the order they are written.,Python,Python Course,beginner
list,"A mutable, ordered collection of items, written with square brackets: [1, 2, 3].",Python,Python Course,beginner
tuple,"An immutable, ordered collection of items, written with parentheses: (1, 2, 3).",Python,Python Course,beginner
set,"An unordered collection of unique items, written with braces: {1, 2, 3}.",Python,Python Course,beginner
range,"A built-in that generates a sequence of integers, commonly used for looping (range(0, n)).",Python,Python Course,beginner
indexing,"Accessing an element by position using square brackets, e.g., s[0].",Python,Python Course,beginner
slicing,"Taking a subsequence using start:stop:step, e.g., s[1:4] or s[::-1].",Python,Python Course,beginner
comprehension,"A concise way to build collections (list/set/dict) from an iterable, e.g., [x*x for x in nums].",Python,Python Course,beginner
zip,"A function that combines iterables element-by-element into tuples, e.g., zip(names, ages).",Python,Python Course,beginner
enumermate,"A misspelling of enumerate: a function that yields (index, item) pairs when looping.",Python,Python Course,beginner
unpacking,"Assigning elements of an iterable to variables (a, b = pair) or expanding with * and ** in calls.",Python,Python Course,beginner
membership test,"Checking whether a value exists in a container (e.g., x in items, key in dict).",Python,Python Course,beginner
replace,A string method that returns a new string with occurrences of a substring replaced.,Python,Python Course,beginner
regular expression,"A pattern language (re module) used to search, match, or split text based on patterns.",Python,Python Course,beginner
concatenation,"Joining values together, e.g., 'a' + 'b' or list1 + list2.",Python,Python Course,beginner
split,"A string method that splits text into a list using a delimiter, e.g., 'a,b'.split(',').",Python,Python Course,beginner
indexing,"Accessing an element by position using square brackets, e.g., s[0].",Python,Python Course,beginner
escape charactrers,"Special sequences in strings starting with backslash, e.g., \n (newline), \t (tab), \\ (backslash).",Python,Python Course,beginner
unicode,A universal character set standard; Python's str type stores Unicode text.,Python,Python Course,beginner
exception,An error event that interrupts normal execution; exceptions can be raised and handled.,Python,Python Course,beginner
try block,A block where you place code that may raise an exception.,Python,Python Course,beginner
except block,A block that catches and handles exceptions raised in the try block.,Python,Python Course,beginner
finally block,"A block that runs whether an exception occurred or not, typically for cleanup.",Python,Python Course,beginner
traceback,A detailed error report showing the call stack and where an exception occurred.,Python,Python Course,beginner
open(),A built-in function that opens a file and returns a file object for reading/writing.,Python,Python Course,beginner
with,A statement that uses a context manager to ensure resources are cleaned up automatically.,Python,Python Course,beginner
context manager,An object that manages setup/teardown for a block (implements __enter__ and __exit__).,Python,Python Course,beginner
close(),A method that closes a resource (file/connection) and frees underlying system handles.,Python,Python Course,beginner
def,Keyword used to define a function.,Python,Python Course,beginner
function call,"Executing a function by writing its name followed by parentheses, optionally with arguments.",Python,Python Course,beginner
argument,A value passed into a function call.,Python,Python Course,beginner
return statement,A statement that sends a value back from a function and stops its execution.,Python,Python Course,beginner
parameter,A named variable in a function definition that receives an argument when the function is called.,Python,Python Course,beginner
default parameter,A function parameter with a default value used when no argument is provided.,Python,Python Course,beginner
keyword arguments,"Arguments passed by name (f(x=1)), making calls clearer and order-independent.",Python,Python Course,beginner
variable arguments,*args and **kwargs: parameters that accept a variable number of positional/keyword arguments.,Python,Python Course,beginner
positional arguments,Arguments matched to parameters by their position in the function call.,Python,Python Course,beginner
lambda functions,"Small anonymous functions created with the lambda keyword, often used for simple callbacks.",Python,Python Course,beginner
dict(),"The dictionary constructor; creates a mapping of keys to values (e.g., dict(a=1)).",Python,Python Course,beginner
get(),Dictionary method to fetch a value by key with an optional default if the key is missing.,Python,Python Course,beginner
items(),"Dictionary method returning a view of (key, value) pairs, useful for looping.",Python,Python Course,beginner
in operator,Operator used for membership tests (x in list) and for iterating in loops (for x in items).,Python,Python Course,beginner
del,"Keyword that deletes a variable name, a dictionary key, or a slice of a list.",Python,Python Course,beginner
update(),"Dictionary method that merges another mapping into the dict, overwriting existing keys.",Python,Python Course,beginner
class,Keyword used to define a class (a blueprint for creating objects).,Python,Python Course,beginner
object,An instance of a class; also the root base class in Python that most classes inherit from.,Python,Python Course,beginner
instance,"A concrete object created from a class (e.g., x = MyClass()).",Python,Python Course,beginner
encapsulation,Bundling data and behavior together and hiding internal details behind a clear interface.,Python,Python Course,beginner
private,A convention for internal attributes (leading underscore) indicating 'do not use directly' (not strictly enforced).,Python,Python Course,beginner
property,A managed attribute created with @property that lets you add logic to getting/setting a value.,Python,Python Course,beginner
validation,"Checking that data meets rules (types, ranges, required fields) before using or storing it.",Python,Python Course,beginner
abstraction,Hiding implementation details and exposing only the essential interface users need.,Python,Python Course,beginner
polymorphism,"Different types can be used through the same interface (duck typing), e.g., anything with __len__ works with len().",Python,Python Course,beginner
method overloading,"Multiple methods with the same name but different signatures; Python doesn't support it directly, often emulated with defaults/dispatch.",Python,Python Course,beginner
inheritance,Defining a class based on another class to reuse/extend behavior (an 'is-a' relationship).,Python,Python Course,beginner
composition,"Building objects from other objects (a 'has-a' relationship), often preferred over deep inheritance.",Python,Python Course,beginner
base class,The class that another class inherits from (superclass/parent).,Python,Python Course,beginner
superclass,Another name for base class: the class being inherited from.,Python,Python Course,beginner
parent,Informal term for a superclass in an inheritance relationship.,Python,Python Course,beginner
child,Informal term for a subclass that inherits from a parent/superclass.,Python,Python Course,beginner
unit test,An automated test that checks a small unit of code (a function/method) in isolation.,Python,Python Course,beginner
assertion,A check that a condition is true; in tests it defines expected behavior.,Python,Python Course,beginner
test coverage,A measure of how much code is executed by the test suite (not the same as correctness).,Python,Python Course,beginner
TDD,"Test-Driven Development: write a failing test first, then implement code to make it pass, then refactor.",Python,Python Course,beginner
