Term,Definition,Category,Source,Difficulty
candidate key,Any minimal set of column(s) that can uniquely identify a row; one candidate key is chosen as the primary key.,Data Modeling,Data Modeling Course,beginner
alternate key,A candidate key that is not selected as the primary key but is still unique and can identify rows.,Data Modeling,Data Modeling Course,beginner
normalization,"Design technique that structures tables to reduce redundancy and dependency problems, improving integrity and maintainability.",Data Modeling,Data Modeling Course,beginner
insertion anomaly,"A design problem where you cannot insert a fact without also inserting unrelated data, due to poor table structure.",Data Modeling,Data Modeling Course,beginner
update anomaly,"A design problem where the same fact must be updated in multiple rows/places, risking inconsistent values.",Data Modeling,Data Modeling Course,beginner
deletion anomaly,A design problem where deleting a row unintentionally removes other important facts because data was bundled together.,Data Modeling,Data Modeling Course,beginner
normal forms,"A set of rules (1NF, 2NF, 3NF, BCNF, etc.) that describe increasing levels of normalization and reduced redundancy.",Data Modeling,Data Modeling Course,beginner
boyce-codd normal form,"BCNF: a stronger form of 3NF where every determinant is a candidate key, preventing certain redundancy anomalies.",Data Modeling,Data Modeling Course,beginner
transitive dependency,"When a non-key attribute depends on another non-key attribute (indirectly on the key), violating 3NF.",Data Modeling,Data Modeling Course,beginner
functional dependency,"A relationship where one set of attributes determines another (if A is known, B is uniquely determined).",Data Modeling,Data Modeling Course,beginner
ternary relationship,A relationship that involves three entities at the same time (cannot be accurately modeled as only pairwise relationships).,Data Modeling,Data Modeling Course,beginner
composite primary key,A primary key made of two or more columns (together uniquely identify rows).,Data Modeling,Data Modeling Course,beginner
relational schema notation,"A compact way to write a relational schema, e.g., R(A, B, C), with annotations for keys and constraints.",Data Modeling,Data Modeling Course,beginner
entity constriants,"Entity constraints: rules that apply within a single table/entity (e.g., primary key uniqueness, not null, domain/check constraints).",Data Modeling,Data Modeling Course,beginner
CRUD,"Create, Read, Update, Delete: the four basic operations performed on stored data.",SQL,SQL Course,beginner
query,A request for data (or a change) expressed in SQL; commonly refers to SELECT statements that return a result set.,SQL,SQL Course,beginner
statement,"A complete instruction executed by a system (e.g., Python interpreter or SQL database), such as an assignment, a function definition, or a SQL command.",SQL,SQL Course,beginner
DDL,"Data Definition Language: SQL for defining structures (CREATE, ALTER, DROP).",SQL,SQL Course,beginner
DML,"Data Manipulation Language: SQL for changing data (INSERT, UPDATE, DELETE).",SQL,SQL Course,beginner
idempotent,A script/operation that can be run multiple times and still produces the same end state (safe re-runs).,SQL,SQL Course,beginner
table,A relational structure that stores rows (records) with the same columns; also called a relation.,SQL,SQL Course,beginner
schema,"A namespace and/or collection of database objects (tables, views, functions); also refers to the defined structure of data.",SQL,SQL Course,beginner
row,A single record/tuple in a table (one item of data across all columns).,SQL,SQL Course,beginner
record,A synonym for row: one complete set of column values in a table.,SQL,SQL Course,beginner
column,"A named field in a table that stores one attribute type (e.g., email, created_at).",SQL,SQL Course,beginner
database,"An organized collection of data and database objects (tables, indexes, views) managed by a DBMS.",SQL,SQL Course,beginner
persistance,Persistence: data is stored durably (on disk) and remains after the program/process ends.,SQL,SQL Course,beginner
DQL,"Data Query Language: SQL used to query data, mainly SELECT.",SQL,SQL Course,beginner
relational database,A database that follows the relational model (tables + keys + constraints) and is queried with SQL.,SQL,SQL Course,beginner
dot commands,"Database client meta-commands (not SQL) such as psql backslash commands (e.g., \dt, \d, \x).",SQL,SQL Course,beginner
CLI,Command-Line Interface: interacting with a tool by typing commands in a terminal.,SQL,SQL Course,beginner
bash,A common command-line shell used on Unix-like systems for running commands and scripts.,SQL,SQL Course,beginner
type inference,"Automatically determining a value's type from context or data (e.g., importing CSV and guessing column types).",SQL,SQL Course,beginner
clause,"A part of a SQL statement with a specific role (SELECT, FROM, WHERE, GROUP BY, ORDER BY, etc.).",SQL,SQL Course,beginner
aliasing,Giving a temporary name to a table or column (often using AS) to simplify references.,SQL,SQL Course,beginner
SQL statement,A SQL command executed by the database; same idea as a statement (SELECT/INSERT/UPDATE/DELETE/CREATE...).,SQL,SQL Course,beginner
persistent database,"A database stored on disk (durable), as opposed to an in-memory database that disappears when the process stops.",SQL,SQL Course,beginner
.wal,"Write-Ahead Log file: a durability mechanism where changes are logged before being applied, enabling crash recovery.",SQL,SQL Course,beginner
IDE,"Integrated Development Environment: an editor with tools like linting, debugging, and project management.",SQL,SQL Course,beginner
csv,Comma-Separated Values: a plain-text tabular file format where each line is a row and fields are separated by commas.,SQL,SQL Course,beginner
namespace,"A naming scope that keeps object names separate; in SQL often implemented as schemas (e.g., public.table).",SQL,SQL Course,beginner
CRUD,"Create, Read, Update, Delete: the four basic operations performed on stored data.",SQL,SQL Course,beginner
query,A request for data (or a change) expressed in SQL; commonly refers to SELECT statements that return a result set.,SQL,SQL Course,beginner
statement,"A complete instruction executed by a system (e.g., Python interpreter or SQL database), such as an assignment, a function definition, or a SQL command.",SQL,SQL Course,beginner
schema,"A namespace and/or collection of database objects (tables, views, functions); also refers to the defined structure of data.",SQL,SQL Course,beginner
aliasing,Giving a temporary name to a table or column (often using AS) to simplify references.,SQL,SQL Course,beginner
projection,"Selecting which columns to return (the column list in SELECT), e.g., SELECT name, age FROM ...",SQL,SQL Course,beginner
selection,Filtering which rows to return (typically via WHERE conditions).,SQL,SQL Course,beginner
namespace,"A naming scope that keeps object names separate; in SQL often implemented as schemas (e.g., public.table).",SQL,SQL Course,beginner
SELECT clause,The part of a query that specifies which columns/expressions are returned.,SQL,SQL Course,beginner
WHERE clause,The part of a query that filters rows based on a condition.,SQL,SQL Course,beginner
condition,"A boolean expression (true/false) used for filtering or joining, e.g., WHERE age > 30.",SQL,SQL Course,beginner
BETWEEN,"A SQL operator for inclusive range checks, e.g., WHERE x BETWEEN 10 AND 20.",SQL,SQL Course,beginner
aggregate functions,"Functions that summarize many rows into one value (COUNT, SUM, AVG, MIN, MAX).",SQL,SQL Course,beginner
range filtering,"Filtering rows by numeric/date ranges using operators like >, <, BETWEEN.",SQL,SQL Course,beginner
pattern matching,Filtering text based on patterns (LIKE/ILIKE) or regular expressions (regexp).,SQL,SQL Course,beginner
list filtering,"Filtering rows based on membership in a list, typically using IN (...).",SQL,SQL Course,beginner
temporal,"Related to time-based data such as dates, timestamps, and time intervals.",SQL,SQL Course,beginner
interval,"A time duration (e.g., 7 days, 3 hours) used in date/time calculations.",SQL,SQL Course,beginner
synthetic,"Artificially generated (not from real-world source), e.g., synthetic test data or surrogate keys.",SQL,SQL Course,beginner
VALUES,"SQL keyword to provide literal row values, commonly used in INSERT or as a table-like construct.",SQL,SQL Course,beginner
subquery,"A query nested inside another query (in SELECT, FROM, WHERE, etc.) whose result is used by the outer query.",SQL,SQL Course,beginner
compound query,A query formed by combining multiple SELECT results using set operations (UNION/INTERSECT/EXCEPT).,SQL,SQL Course,beginner
set operations,"Operations that combine result sets as sets (UNION, UNION ALL, INTERSECT, EXCEPT).",SQL,SQL Course,beginner
EXCEPT,Set operation that returns rows present in the first query but not in the second (set difference).,SQL,SQL Course,beginner
result set,The table-shaped output returned by a query (rows + columns).,SQL,SQL Course,beginner
UNION,Set operation that combines results and removes duplicates (distinct).,SQL,SQL Course,beginner
UNION ALL,Set operation that combines results and keeps duplicates (faster than UNION).,SQL,SQL Course,beginner
operator,"A symbol/keyword that performs an operation (e.g., =, <, +, AND, OR).",SQL,SQL Course,beginner
INTERSECT,Set operation that returns only rows that appear in both result sets (set intersection).,SQL,SQL Course,beginner
venn diagram,A diagram showing overlaps between sets; often used to explain UNION/INTERSECT/EXCEPT visually.,SQL,SQL Course,beginner
LEFT JOIN,Join that keeps all rows from the left table and matches from the right; non-matches on the right become NULL.,SQL,SQL Course,beginner
INNER JOIN,Join that returns only rows where the join condition matches in both tables.,SQL,SQL Course,beginner
RIGHT JOIN,Join that keeps all rows from the right table and matches from the left; non-matches on the left become NULL.,SQL,SQL Course,beginner
LIKE,Pattern matching operator using % and _ wildcards; often case-sensitive depending on database/collation.,SQL,SQL Course,beginner
ILIKE,Case-insensitive version of LIKE in PostgreSQL.,SQL,SQL Course,beginner
regexp,"Regular expression matching (database-specific), used to filter strings with regex patterns.",SQL,SQL Course,beginner
backup,"en extra kopia på någonting, används för säkerhet utifall någonting händer, t.ex en fil blir korrupt och ej läsbar. Har du en backup på originalet kan du läsa den istället utan problem.",Python,Python Course,beginner
pull,kommandot git pull används för att hämta och ladda ner innehåll från ett repository och omedelbart uppdatera det lokala arkivet så att det matchar det innehållet.,Python,Python Course,beginner
clone,"git clone används för att skapa en lokal kopia av ett befintligt repo (remote repository), till exempel från GitHub, GitLab eller Bitbucket. Det laddar ner hela projektets historik, filer och alla grenar (branches) till din dator, vilket gör att du kan arbeta lokalt och senare synkronisera ändringar.",Python,Python Course,beginner
cd,linux kommando som står för 'change directory',Python,Python Course,beginner
ls,linux kommando som står för 'list',Python,Python Course,beginner
cd ..,linux kommando som står för 'change directory bakåt'. Den flyttar dig bakåt en directory.,Python,Python Course,beginner
data type,"data type frågar om vad för TYP det är på datan. Heltal(integer), decimaler(float), text(string), Sant/Falskt(Boolean). Notera att det är stor skillnad på Data type och Data structure.",Python,Python Course,beginner
data structure,"Data structures är ett sätt att organisera, lagra och hantera data för att kunna använda den effektivt. Exempel på datastruktur är, list [], tuple (), dictionary {}.",Python,Python Course,beginner
variable,"en variabel är som en behållare som du ger ett namn och ett värde, till exempel hw = 'Hello World'. Då kan du kalla på variabeln när som helst med hw istället för att skriva Hello World.",Python,Python Course,beginner
assignment,en tilldelning enkelt förklarat. Har du en variabel = 10 så innebär det att likhetstecknet tilldelar variabeln 10 (som är en int i detta exempel).,Python,Python Course,beginner
input,input är det som går in.,Python,Python Course,beginner
output,output är det som kommer ut.,Python,Python Course,beginner
type casting,"innebär att en variabel av en viss datatyp konverteras till en annan. Till exempel: x = int(11.7), detta kommer bli 12 pga int är heltal och ej decimaler. https://www.w3schools.com/python/python_casting.asp",Python,Python Course,beginner
boolean,"en bool är True eller False. If x = True, ... ... True är här en bool.",Python,Python Course,beginner
string,en string kännetecknas av 'text',Python,Python Course,beginner
indentation,"Leading whitespace that defines code blocks in Python (e.g., inside if/for/functions).",Python,Python Course,beginner
convention,"A recommended style or best practice (e.g., PEP 8) that improves readability but isn't required by the interpreter.",Python,Python Course,beginner
control structures,"Language constructs that control execution flow, such as conditionals, loops, and exception handling.",Python,Python Course,beginner
conditional statement,A statement that chooses which block to run based on a condition (if/elif/else).,Python,Python Course,beginner
if,Starts a conditional block that runs only if its boolean condition is True.,Python,Python Course,beginner
elif,An 'else if' branch: checked when previous if/elif conditions were False.,Python,Python Course,beginner
else,Fallback branch of a conditional that runs when no prior condition is True.,Python,Python Course,beginner
for,"A loop that iterates over items in an iterable (list, range, dict, etc.).",Python,Python Course,beginner
while,A loop that repeats as long as its boolean condition remains True.,Python,Python Course,beginner
break,Immediately exits the nearest enclosing loop.,Python,Python Course,beginner
continue,Skips the rest of the current loop iteration and continues with the next one.,Python,Python Course,beginner
boolean expression,"An expression that evaluates to True or False (e.g., x > 0 and y < 5).",Python,Python Course,beginner
loop,A control structure that repeats a block of code multiple times.,Python,Python Course,beginner
nested loop,"A loop inside another loop, used to iterate over combinations (e.g., rows and columns).",Python,Python Course,beginner
nested if statement,"An if-statement inside another if-statement, used for multi-level decisions.",Python,Python Course,beginner
expression,"A piece of code that produces a value (e.g., 2 + 2, len(name), x > 3).",Python,Python Course,beginner
statement,"A complete instruction executed by a system (e.g., Python interpreter or SQL database), such as an assignment, a function definition, or a SQL command.",Python,Python Course,beginner
control flow,"The order in which statements execute (including branches, loops, and exceptions).",Python,Python Course,beginner
sequence,A control flow where statements run top-to-bottom in the order they are written.,Python,Python Course,beginner
list,"A mutable, ordered collection of items, written with square brackets: [1, 2, 3].",Python,Python Course,beginner
tuple,"An immutable, ordered collection of items, written with parentheses: (1, 2, 3).",Python,Python Course,beginner
set,"An unordered collection of unique items, written with braces: {1, 2, 3}.",Python,Python Course,beginner
range,"A built-in that generates a sequence of integers, commonly used for looping (range(0, n)).",Python,Python Course,beginner
indexing,"Accessing an element by position using square brackets, e.g., s[0].",Python,Python Course,beginner
slicing,"Taking a subsequence using start:stop:step, e.g., s[1:4] or s[::-1].",Python,Python Course,beginner
comprehension,"A concise way to build collections (list/set/dict) from an iterable, e.g., [x*x for x in nums].",Python,Python Course,beginner
zip,"A function that combines iterables element-by-element into tuples, e.g., zip(names, ages).",Python,Python Course,beginner
enumermate,"A misspelling of enumerate: a function that yields (index, item) pairs when looping.",Python,Python Course,beginner
unpacking,"Assigning elements of an iterable to variables (a, b = pair) or expanding with * and ** in calls.",Python,Python Course,beginner
membership test,"Checking whether a value exists in a container (e.g., x in items, key in dict).",Python,Python Course,beginner
replace,A string method that returns a new string with occurrences of a substring replaced.,Python,Python Course,beginner
regular expression,"A pattern language (re module) used to search, match, or split text based on patterns.",Python,Python Course,beginner
concatenation,"Joining values together, e.g., 'a' + 'b' or list1 + list2.",Python,Python Course,beginner
split,"A string method that splits text into a list using a delimiter, e.g., 'a,b'.split(',').",Python,Python Course,beginner
indexing,"Accessing an element by position using square brackets, e.g., s[0].",Python,Python Course,beginner
escape charactrers,"Special sequences in strings starting with backslash, e.g., \n (newline), \t (tab), \\ (backslash).",Python,Python Course,beginner
unicode,A universal character set standard; Python's str type stores Unicode text.,Python,Python Course,beginner
exception,An error event that interrupts normal execution; exceptions can be raised and handled.,Python,Python Course,beginner
try block,A block where you place code that may raise an exception.,Python,Python Course,beginner
except block,A block that catches and handles exceptions raised in the try block.,Python,Python Course,beginner
finally block,"A block that runs whether an exception occurred or not, typically for cleanup.",Python,Python Course,beginner
traceback,A detailed error report showing the call stack and where an exception occurred.,Python,Python Course,beginner
open(),A built-in function that opens a file and returns a file object for reading/writing.,Python,Python Course,beginner
with,A statement that uses a context manager to ensure resources are cleaned up automatically.,Python,Python Course,beginner
context manager,An object that manages setup/teardown for a block (implements __enter__ and __exit__).,Python,Python Course,beginner
close(),A method that closes a resource (file/connection) and frees underlying system handles.,Python,Python Course,beginner
def,Keyword used to define a function.,Python,Python Course,beginner
function call,"Executing a function by writing its name followed by parentheses, optionally with arguments.",Python,Python Course,beginner
argument,A value passed into a function call.,Python,Python Course,beginner
return statement,A statement that sends a value back from a function and stops its execution.,Python,Python Course,beginner
parameter,A named variable in a function definition that receives an argument when the function is called.,Python,Python Course,beginner
default parameter,A function parameter with a default value used when no argument is provided.,Python,Python Course,beginner
keyword arguments,"Arguments passed by name (f(x=1)), making calls clearer and order-independent.",Python,Python Course,beginner
variable arguments,*args and **kwargs: parameters that accept a variable number of positional/keyword arguments.,Python,Python Course,beginner
positional arguments,Arguments matched to parameters by their position in the function call.,Python,Python Course,beginner
lambda functions,"Small anonymous functions created with the lambda keyword, often used for simple callbacks.",Python,Python Course,beginner
dict(),"The dictionary constructor; creates a mapping of keys to values (e.g., dict(a=1)).",Python,Python Course,beginner
get(),Dictionary method to fetch a value by key with an optional default if the key is missing.,Python,Python Course,beginner
items(),"Dictionary method returning a view of (key, value) pairs, useful for looping.",Python,Python Course,beginner
in operator,Operator used for membership tests (x in list) and for iterating in loops (for x in items).,Python,Python Course,beginner
del,"Keyword that deletes a variable name, a dictionary key, or a slice of a list.",Python,Python Course,beginner
update(),"Dictionary method that merges another mapping into the dict, overwriting existing keys.",Python,Python Course,beginner
class,Keyword used to define a class (a blueprint for creating objects).,Python,Python Course,beginner
object,An instance of a class; also the root base class in Python that most classes inherit from.,Python,Python Course,beginner
instance,"A concrete object created from a class (e.g., x = MyClass()).",Python,Python Course,beginner
encapsulation,Bundling data and behavior together and hiding internal details behind a clear interface.,Python,Python Course,beginner
private,A convention for internal attributes (leading underscore) indicating 'do not use directly' (not strictly enforced).,Python,Python Course,beginner
property,A managed attribute created with @property that lets you add logic to getting/setting a value.,Python,Python Course,beginner
validation,"Checking that data meets rules (types, ranges, required fields) before using or storing it.",Python,Python Course,beginner
abstraction,Hiding implementation details and exposing only the essential interface users need.,Python,Python Course,beginner
polymorphism,"Different types can be used through the same interface (duck typing), e.g., anything with __len__ works with len().",Python,Python Course,beginner
method overloading,"Multiple methods with the same name but different signatures; Python doesn't support it directly, often emulated with defaults/dispatch.",Python,Python Course,beginner
inheritance,Defining a class based on another class to reuse/extend behavior (an 'is-a' relationship).,Python,Python Course,beginner
composition,"Building objects from other objects (a 'has-a' relationship), often preferred over deep inheritance.",Python,Python Course,beginner
base class,The class that another class inherits from (superclass/parent).,Python,Python Course,beginner
superclass,Another name for base class: the class being inherited from.,Python,Python Course,beginner
parent,Informal term for a superclass in an inheritance relationship.,Python,Python Course,beginner
child,Informal term for a subclass that inherits from a parent/superclass.,Python,Python Course,beginner
unit test,An automated test that checks a small unit of code (a function/method) in isolation.,Python,Python Course,beginner
assertion,A check that a condition is true; in tests it defines expected behavior.,Python,Python Course,beginner
test coverage,A measure of how much code is executed by the test suite (not the same as correctness).,Python,Python Course,beginner
TDD,"Test-Driven Development: write a failing test first, then implement code to make it pass, then refactor.",Python,Python Course,beginner
assign,"To assign means to set a value; in pandas, assign() creates new columns in a DataFrame (often without mutating the original).",Dataplatform Development,Dataplatform Development Course,beginner
logical error,A logical error is a bug where code runs without crashing but produces the wrong result.,Dataplatform Development,Dataplatform Development Course,beginner
handling error,"Error handling is writing code that detects failures and responds safely (messages, retries, fallback, or clean exit).",Dataplatform Development,Dataplatform Development Course,beginner
indexing,"Accessing an element by position using square brackets, e.g., s[0].",Dataplatform Development,Dataplatform Development Course,beginner
slicing,"Taking a subsequence using start:stop:step, e.g., s[1:4] or s[::-1].",Dataplatform Development,Dataplatform Development Course,beginner
iterable,"An iterable is an object you can loop over (it produces items one by one), like lists, strings, or generators.",Dataplatform Development,Dataplatform Development Course,beginner
iterate over,"To iterate over means to loop through each item in a collection, one at a time.",Dataplatform Development,Dataplatform Development Course,beginner
list comprehension,A list comprehension is a compact way to build a new list from an iterable in a single expression.,Dataplatform Development,Dataplatform Development Course,beginner
collections,"In Python, the collections module provides specialized container types like Counter, defaultdict, and deque.",Dataplatform Development,Dataplatform Development Course,beginner
tuples,"A tuple is an immutable (unchangeable) ordered collection in Python, written with parentheses or commas.",Dataplatform Development,Dataplatform Development Course,beginner
\_\_repr\_\_,__repr__ is a Python 'dunder' method that returns an unambiguous string representation of an object (useful for debugging).,Dataplatform Development,Dataplatform Development Course,beginner
dunder methods,"Dunder methods are special Python methods with double underscores (e.g., __init__, __repr__) that customize object behavior.",Dataplatform Development,Dataplatform Development Course,beginner
pythonic,"Pythonic means written in a clear, idiomatic style that fits Python conventions.",Dataplatform Development,Dataplatform Development Course,beginner
idiomatic,"Idiomatic code follows the common style and patterns of a language, making it easier to read and maintain.",Dataplatform Development,Dataplatform Development Course,beginner
DRY,"Don't Repeat Yourself (DRY): a principle that encourages avoiding duplicated code by reusing functions, modules, or shared logic.",Dataplatform Development,Dataplatform Development Course,beginner
spaghetti code,"Spaghetti code is tangled, hard-to-follow code with poor structure and many hidden dependencies.",Dataplatform Development,Dataplatform Development Course,beginner
keyword arguments,"Arguments passed by name (f(x=1)), making calls clearer and order-independent.",Dataplatform Development,Dataplatform Development Course,beginner
positional arguments,Arguments matched to parameters by their position in the function call.,Dataplatform Development,Dataplatform Development Course,beginner
\*args,"In Python, *args collects extra positional arguments into a tuple inside a function.",Dataplatform Development,Dataplatform Development Course,beginner
\*\*kwargs,"In Python, **kwargs collects extra keyword arguments into a dictionary inside a function.",Dataplatform Development,Dataplatform Development Course,beginner
unpacking list,"Unpacking means assigning elements from a list/tuple into multiple variables (e.g., a, b = [1, 2]).",Dataplatform Development,Dataplatform Development Course,beginner
return statement,A statement that sends a value back from a function and stops its execution.,Dataplatform Development,Dataplatform Development Course,beginner
ternary operator,A ternary operator is a one-line conditional expression: x if condition else y.,Dataplatform Development,Dataplatform Development Course,beginner
json,"JSON (JavaScript Object Notation) is a text format for structured data, commonly used in APIs.",Dataplatform Development,Dataplatform Development Course,beginner
dataframe,A DataFrame is a 2D table-like data structure in pandas with labeled rows and columns.,Dataplatform Development,Dataplatform Development Course,beginner
series,A Series is a 1D labeled array in pandas (similar to a single column with an index).,Dataplatform Development,Dataplatform Development Course,beginner
pandas concat,pandas concat() combines multiple Series/DataFrames by stacking rows or columns.,Dataplatform Development,Dataplatform Development Course,beginner
pandas appply,pandas apply() runs a function on each row or column (or element) to transform data.,Dataplatform Development,Dataplatform Development Course,beginner
csv,Comma-Separated Values: a plain-text tabular file format where each line is a row and fields are separated by commas.,Dataplatform Development,Dataplatform Development Course,beginner
pandas isnull,pandas isnull()/isna() checks for missing values (NaN/None) and returns a boolean mask.,Dataplatform Development,Dataplatform Development Course,beginner
masking in pandas,"Masking in pandas means filtering rows using boolean conditions (e.g., df[df['col'] > 0]).",Dataplatform Development,Dataplatform Development Course,beginner
pandas transpose,pandas transpose (df.T) swaps rows and columns in a DataFrame.,Dataplatform Development,Dataplatform Development Course,beginner
pandas value_counts(),pandas value_counts() counts unique values in a Series and returns frequencies.,Dataplatform Development,Dataplatform Development Course,beginner
json,"JSON (JavaScript Object Notation) is a text format for structured data, commonly used in APIs.",Dataplatform Development,Dataplatform Development Course,beginner
tabular data,Tabular data is data organized in rows and columns (like a spreadsheet or database table).,Dataplatform Development,Dataplatform Development Course,beginner
zero-based indexing,Zero-based indexing means sequences start at index 0 (first element is at position 0).,Dataplatform Development,Dataplatform Development Course,beginner
host system,The host system is the machine/OS that runs containers or virtual environments.,Dataplatform Development,Dataplatform Development Course,beginner
virtualization,Virtualization is running isolated environments on a host machine (VMs or containers) to separate workloads.,Dataplatform Development,Dataplatform Development Course,beginner
spin up,"To spin up means to start and make a service/resource ready (e.g., start containers or servers).",Dataplatform Development,Dataplatform Development Course,beginner
dockerize,To dockerize an app means packaging it into a Docker image so it can run consistently anywhere.,Dataplatform Development,Dataplatform Development Course,beginner
docker build,docker build creates a Docker image from a Dockerfile.,Dataplatform Development,Dataplatform Development Course,beginner
docker run,docker run creates and starts a new container from an image.,Dataplatform Development,Dataplatform Development Course,beginner
docker layers,"Docker image layers are cached filesystem snapshots created by each build step, enabling faster rebuilds.",Dataplatform Development,Dataplatform Development Course,beginner
container,"A container is a lightweight isolated runtime for an application and its dependencies, sharing the host OS kernel.",Dataplatform Development,Dataplatform Development Course,beginner
image,A Docker image is a packaged template of an application and its dependencies used to create containers.,Dataplatform Development,Dataplatform Development Course,beginner
docker compose up -d,docker compose up -d starts services in the background (detached).,Dataplatform Development,Dataplatform Development Course,beginner
docker compose up --build,docker compose up --build starts services and rebuilds images before running them.,Dataplatform Development,Dataplatform Development Course,beginner
docker compose down,docker compose down stops and removes containers (and optionally networks/volumes).,Dataplatform Development,Dataplatform Development Course,beginner
docker inspect,"docker inspect shows detailed JSON information about a Docker object (container, image, network, etc.).",Dataplatform Development,Dataplatform Development Course,beginner
docker ps,docker ps lists running containers.,Dataplatform Development,Dataplatform Development Course,beginner
docker volume ls,docker volume ls lists Docker volumes used for persistent storage.,Dataplatform Development,Dataplatform Development Course,beginner
docker container ls -a,"docker container ls -a lists all containers, including stopped ones.",Dataplatform Development,Dataplatform Development Course,beginner
docker image ls -a,"docker image ls -a lists all images, including intermediate ones.",Dataplatform Development,Dataplatform Development Course,beginner
docker image prune,docker image prune removes unused images to free disk space.,Dataplatform Development,Dataplatform Development Course,beginner
docker container prune,docker container prune removes stopped containers to free disk space.,Dataplatform Development,Dataplatform Development Course,beginner
tag,"A tag is a label used to identify a version or variant (e.g., a Git tag or a Docker image tag).",Dataplatform Development,Dataplatform Development Course,beginner
docker rm,docker rm removes one or more containers (usually stopped containers).,Dataplatform Development,Dataplatform Development Course,beginner
kafka,"Apache Kafka is a distributed event-streaming platform for publishing, storing, and consuming streams of messages.",Dataplatform Development,Dataplatform Development Course,beginner
event,"An event is something that happens in a system and can trigger processing (e.g., a message arrival or a user action).",Dataplatform Development,Dataplatform Development Course,beginner
message,A message is a unit of data sent between systems (often via a queue or topic).,Dataplatform Development,Dataplatform Development Course,beginner
producer,"In messaging/pub-sub, a producer publishes messages to a topic or queue.",Dataplatform Development,Dataplatform Development Course,beginner
consumer,"In messaging/pub-sub, a consumer is a process that reads messages from a queue or topic.",Dataplatform Development,Dataplatform Development Course,beginner
topic,A topic is a named stream/channel of messages in pub/sub systems like Kafka.,Dataplatform Development,Dataplatform Development Course,beginner
publish,To publish means to send data/messages so others can consume them (often to a topic/queue).,Dataplatform Development,Dataplatform Development Course,beginner
